Towns,State,"Per 1,000 residents",Dunkin Donuts,Population
Palmyra,ME,1.03,2,1936
Avon,MA,0.91,4,4386
Gorham,NH,0.71,2,2824
Cornish,ME,0.7052186178,1,1418
Lisbon,CT,0.69,3,4348
Berlin,MA,0.69,2,2902
Weymouth,MA,0.68,10,14768
Seekonk,MA,0.66,9,13722
Bridgewater,MA,0.61,6,9806
Bradford,NH,0.6042296073,1,1655
Lincoln,NH,0.6024096386,1,1660
Newfields,NH,0.5941770648,1,1683
West Bridgewater,MA,0.58,4,6941
NEW HAVEN,VT,0.5737234653,1,1743
Tilton,NH,0.56,2,3601
ERVING,MA,0.5549389567,1,1802
Raynham,MA,0.52,7,13504
LUDLOW,VT,0.5162622612,1,1937
Franklin,CT,0.50,1,1987
Oxford,ME,0.49,2,4053
West Greenwich,RI,0.49,3,6135
Greenville,NH,0.481000481,1,2079
Ashland,NH,0.4800768123,1,2083
Unity,ME,0.4791566842,1,2087
Windsor Locks,CT,0.48,6,12573
Kingston,MA,0.47,6,12727
North Hampton,NH,0.455996352,1,2193
Damariscotta,ME,0.4516711834,1,2214
Eddington,ME,0.4484304933,1,2230
Freetown,MA,0.45,4,8948
Canaan,ME,0.4470272687,1,2237
Milo,ME,0.4399472063,1,2273
Chaplin,CT,0.44,1,2276
Colebrook,NH,0.4351610096,1,2298
Enfield,NH,0.43,2,4613
Middleton,MA,0.43,4,9267
Whitefield,NH,0.427167877,1,2341
Preston,CT,0.42,2,4755
Fitzwilliam,NH,0.417710944,1,2394
WILLIAMSBURG,MA,0.4038772213,1,2476
Dixfield,ME,0.4020908725,1,2487
Plaistow,NH,0.40,3,7563
Farmington,ME,0.39,3,7610
Chichester,NH,0.3921568627,1,2550
Manchester,ME,0.3912363067,1,2556
Richmond,RI,0.39,3,7708
East Granby,CT,0.38,2,5212
Voluntown,CT,0.38,1,2611
Searsport,ME,0.3806623525,1,2627
Bethel,ME,0.3799392097,1,2632
Hadley,MA,0.38,2,5270
Antrim,NH,0.3787878788,1,2640
North Stonington,CT,0.38,2,5291
Swansea,MA,0.37,6,16010
FAIR HAVEN,VT,0.3741114852,1,2673
Bluehill,ME,0.3736920777,1,2676
Saugus,MA,0.37,10,27338
WELLFLEET,MA,0.3646973012,1,2742
Thomaston,ME,0.3612716763,1,2768
WEATHERSFIELD,VT,0.3579098067,1,2794
Bartlett,NH,0.3573981415,1,2798
Salisbury,MA,0.36,3,8425
Plainville,MA,0.36,3,8440
Montville,CT,0.36,7,19713
Skowhegan,ME,0.35,3,8458
Hooksett,NH,0.35,5,14176
BERLIN,VT,0.350877193,1,2850
Corinth,ME,0.350877193,1,2850
East Windsor,CT,0.35,4,11406
Warner,NH,0.3494060098,1,2862
Tamworth,NH,0.3475842892,1,2877
Farmingdale,ME,0.3430531732,1,2915
Gardiner,ME,0.3430531732,1,2915
Seabrook,NH,0.34,3,8768
Littleton,NH,0.34,2,5952
Grantham,NH,0.3344481605,1,2990
Danvers,MA,0.33,9,27020
Williston,VT,0.33,3,9014
Kingston,NH,0.33,2,6011
Rindge,NH,0.33,2,6045
Londonderry,NH,0.33,8,24209
Littleton,MA,0.33,3,9132
Bristol,NH,0.3277613897,1,3051
Smithfield,RI,0.33,7,21430
Harwich,MA,0.33,4,12263
Holden,ME,0.3236245955,1,3090
St. Albans Town,VT,0.32,2,6233
Sturbridge,MA,0.32,3,9350
Augusta,ME,0.32,6,18705
WESTMINSTER,VT,0.3201024328,1,3124
Livermore Falls,ME,0.3180661578,1,3144
Putnam,CT,0.32,3,9465
Exeter,RI,0.31,2,6425
CHESHIRE,MA,0.3106554831,1,3219
Peterborough,NH,0.31,2,6473
North Canaan,CT,0.31,1,3241
Harvard,MA,0.31,2,6530
Andover,CT,0.31,1,3273
Wilmington,MA,0.31,7,22936
Braintree,MA,0.30,11,36249
Tewksbury,MA,0.30,9,29669
DUNSTABLE,MA,0.3027550711,1,3303
Bellingham,MA,0.30,5,16521
Epping,NH,0.30,2,6617
Campton,NH,0.2990430622,1,3344
Rockport,ME,0.2976190476,1,3360
POULTNEY,VT,0.2970885324,1,3366
Conway,NH,0.30,3,10099
Richmond,ME,0.2955956252,1,3383
Lebanon,NH,0.30,4,13559
Fryeburg,ME,0.2942907593,1,3398
Foxborough,MA,0.29,5,17087
North Haven,CT,0.29,7,23939
Stow,MA,0.29,2,6854
Hanson,MA,0.29,3,10292
NAHANT,MA,0.2905287623,1,3442
Westbrook,CT,0.29,2,6906
Orange,CT,0.29,4,13953
Mashpee,MA,0.29,4,14005
Salem,MA,0.28,12,42219
Warren,RI,0.28,3,10611
Hanover,MA,0.28,4,14151
Woburn,MA,0.28,11,38949
Cromwell,CT,0.28,4,14178
Lancaster,NH,0.281848929,1,3548
Gilford,NH,0.28,2,7133
Portsmouth,NH,0.28,7,21280
ESSEX,MA,0.2790178571,1,3584
Burlington,MA,0.28,7,25165
Stoneham,MA,0.28,6,21605
Chesterfield,NH,0.2772387025,1,3607
Stratham,NH,0.27,2,7280
Swanzey,NH,0.27,2,7285
Somerset,MA,0.27,5,18270
Belmont,NH,0.27,2,7319
Westminster,MA,0.27,2,7339
Groton,MA,0.27,3,11017
Durham,CT,0.27,2,7361
Westborough,MA,0.27,5,18455
Greenland,NH,0.270343336,1,3699
SUNDERLAND,MA,0.270343336,1,3699
Wrentham,MA,0.27,3,11118
Orrington,ME,0.2697599137,1,3707
Wareham,MA,0.27,6,22339
WEST BROOKFIELD,MA,0.2680246583,1,3731
Wisscasset,ME,0.2679528403,1,3732
Barnstable,MA,0.27,12,44824
Rochester,NH,0.27,8,29893
Walpole,NH,0.2670940171,1,3744
Middlebury,CT,0.26,2,7571
Plainfield,CT,0.26,4,15228
Dexter,ME,0.2613012804,1,3827
Carver,MA,0.26,3,11521
Thomaston,CT,0.26,2,7761
Westwood,MA,0.26,4,15655
Candia,NH,0.2551671345,1,3919
Ellsworth,ME,0.26,2,7843
Boscawen,NH,0.2546473135,1,3927
Naples,ME,0.2530364372,1,3952
Bourne,MA,0.25,5,19806
Narragansett,RI,0.25,4,15868
Stoughton,MA,0.25,7,27849
Branford,CT,0.25,7,27988
Wilton,ME,0.2500625156,1,3999
Abington,MA,0.25,4,16060
Templeton,MA,0.25,2,8051
Rutland City,VT,0.25,4,16126
Hinsdale,NH,0.2472799209,1,4044
Waterville,ME,0.25,4,16182
Gardner,MA,0.25,5,20254
Moultonborough,NH,0.2457002457,1,4070
Auburn,MA,0.25,4,16287
Pittsfield,NH,0.244977952,1,4082
Rutland,MA,0.24,2,8185
Cohasset,MA,0.24,2,8195
Salem,NH,0.24,7,28688
Johnston,RI,0.24,7,28769
Warwick,RI,0.24,20,82672
Palmer,MA,0.24,3,12497
Haddam,CT,0.24,2,8363
Adams,MA,0.24,2,8383
SHERBORN,MA,0.2381519409,1,4199
Salem,CT,0.24,1,4201
Windham,CT,0.24,6,25213
Webster,MA,0.24,4,16812
Northwood,NH,0.2351834431,1,4252
Yarmouth,ME,0.24,2,8509
Farmington,CT,0.23,6,25613
Hampstead,NH,0.23,2,8547
China,ME,0.2336448598,1,4280
Ashford,CT,0.23,1,4281
Killingly,CT,0.23,4,17233
Taunton,MA,0.23,13,56055
Pelham,NH,0.23,3,12970
Allenstown,NH,0.2311604253,1,4326
Lee,NH,0.2304147465,1,4340
MANCHESTER,VT,0.2301495972,1,4345
Ossipee,NH,0.2298322225,1,4351
Marlborough,MA,0.23,9,39204
Canton,MA,0.23,5,21932
Lyman,ME,0.2279462047,1,4387
BOYLSTON,MA,0.2276348737,1,4393
Newington,CT,0.23,7,30756
Rockland,MA,0.23,4,17580
STOWE,VT,0.2267573696,1,4410
Newburyport,MA,0.23,4,17654
Hollis,ME,0.2263980077,1,4417
Plymouth,MA,0.23,13,57463
New Hampton,NH,0.226193169,1,4421
Claremont,NH,0.23,3,13321
Plainville,CT,0.22,4,17820
Westbrook,ME,0.22,4,17886
Beverly,MA,0.22,9,40286
Pembroke,MA,0.22,4,17959
Raymond,ME,0.2221728505,1,4501
Acton,MA,0.22,5,22599
Townsend,MA,0.22,2,9133
Auburn,ME,0.22,5,22912
Bedford,MA,0.22,3,13765
Deep River,CT,0.22,1,4589
New London,NH,0.2175805048,1,4596
Chelsea,MA,0.22,8,36828
Lexington,MA,0.22,7,32272
Springfield,VT,0.22,2,9257
Stonington,CT,0.22,4,18541
Epsom,NH,0.215285253,1,4645
CASTLETON,VT,0.2151462995,1,4648
North Berwick,ME,0.2150537634,1,4650
Bangor,ME,0.21,7,32568
Windham,NH,0.21,3,13960
Brewer,ME,0.21,2,9317
Haverhill,NH,0.2129018522,1,4697
Madison,ME,0.2125398512,1,4705
Dennis,MA,0.21,3,14153
Portland,CT,0.21,2,9456
Concord,NH,0.21,9,42594
North Andover,MA,0.21,6,28422
Concord,MA,0.21,4,18957
Yarmouth,MA,0.21,5,23703
RANDOLPH,VT,0.2102607233,1,4756
Southwick,MA,0.21,2,9575
Norwood,MA,0.21,6,28780
Methuen,MA,0.21,10,48009
Norton,MA,0.21,4,19310
Henniker,NH,0.2071251036,1,4828
Revere,MA,0.21,11,53179
PAXTON,MA,0.2057613169,1,4860
Gloucester,MA,0.21,6,29191
Whitman,MA,0.21,3,14609
Attleboro,MA,0.21,9,43837
Waterford,CT,0.21,4,19505
Scarborough,ME,0.20,4,19524
Hartford (White Rive,VT,0.20,2,9812
MARION,MA,0.2037074761,1,4909
Walpole,MA,0.20,5,24562
Dartmouth,MA,0.20,7,34448
Ware,MA,0.20,2,9859
Bucksport,ME,0.2024701357,1,4939
EASTHAM,MA,0.2021835827,1,4946
Brockton,MA,0.20,19,94094
Monroe,CT,0.20,4,19834
Rocky Hill,CT,0.20,4,19915
WESTON,MA,0.2002803925,1,4993
Brookline,NH,0.2,1,4991
Wells,ME,0.20,2,10009
Waldoboro,ME,0.1994017946,1,5015
Sabattus,ME,0.199123855,1,5022
