id,address,city,state,zip,country,lat,lng
300176,1752B Route 9,Clifton Park,NY,12065,US,42.871739,-73.774136
300178,99 High St,Danvers,MA,1923,US,42.559575,-70.931239
300179,17 Railroad Ave,Rockport,MA,1966,US,42.656344,-70.626211
300202,411 Furrows Rd,Holbrook,NY,11741,US,40.806919,-73.07295
300204,140 Central Ave,East Orange,NJ,7018,US,40.752378,-74.207983
300205,22 Washington St,Canton,MA,2021,US,42.139105,-71.148928
300208,66 Montello St,Brockton,MA,2301,US,42.084421,-71.017414
300210,77 Washington St,Weymouth,MA,2188,US,42.218711,-70.967392
300212,76 Middlesex Ave,Somerville,MA,2145,US,42.393243,-71.083429
300215,533 Broadway,Saugus,MA,1906,US,42.483084,-71.020118
300221,1500 John F Kennedy Blvd,Philadelphia,PA,19102,US,39.953181,-75.164679
300223,616 Massachusetts Ave,Cambridge,MA,2139,US,42.364984,-71.103405
300230,3313 Wharton St,Philadelphia,PA,19146,US,39.938239,-75.198408
300231,121 S Main St,Concord,NH,3301,US,43.197972,-71.530842
300232,401 Watertown St,Newton,MA,2458,US,42.360222,-71.202397
300236,276 Beacham St,Chelsea,MA,2150,US,42.395836,-71.052328
300240,13-15 Maverick Sq,East Boston,MA,2128,US,42.369062,-71.039333
300241,260 Halstead Ave,Harrison,NY,10528,US,40.968672,-73.713642
300243,301 Federal Hwy,Lake Park,FL,33403,US,26.794429,-80.054492
300244,1245 N Main St,Providence,RI,2904,US,41.854031,-71.400507
300245,630 Reservoir Ave,Cranston,RI,2910,US,41.781744,-71.440185
300247,308 Cumberland St,Woonsocket,RI,2895,US,42.004717,-71.498142
300248,423 N Cedar Bluff Rd,Knoxville,TN,37923,US,35.923589,-84.094769
300250,610 Park Ave,Worcester,MA,1605,US,42.247836,-71.833644
300252,1 White St,Cambridge,MA,2140,US,42.3892,-71.119597
300254,103 Broad St,Nashua,NH,3060,US,42.76985,-71.4909
300255,543 Southern Artery,Quincy,MA,2169,US,42.252772,-70.993044
300258,5 Central St,Winchendon,MA,1475,US,42.681106,-72.048297
300259,940 Boylston St,Newton,MA,2461,US,42.319078,-71.209992
300260,803 Donald Ross Rd,Juno Beach,FL,33408,US,26.882031,-80.059275
300261,1350 Whalley Ave,New Haven,CT,6515,US,41.331862,-72.974466
300263,132 W Main St,Meriden,CT,6451,US,41.538017,-72.807372
300264,19 Rockdale Ave,New Bedford,MA,2740,US,41.613661,-70.931381
300268,327 Main St,Bangor,ME,4401,US,44.794766,-68.774891
300269,526 Central Ave,Dover,NH,3820,US,43.199631,-70.875508
300270,1678 Post Rd,Warwick,RI,2888,US,41.7355,-71.434767
300277,185 Cambridge Rd,Woburn,MA,1801,US,42.467311,-71.178194
300279,369 S Main St,Laconia,NH,3246,US,43.524011,-71.467402
300283,1900 Dixwell Ave,Hamden,CT,6514,US,41.363606,-72.923389
300284,1338 Boston Post Rd,Milford,CT,6460,US,41.239047,-73.035461
300286,235 Taunton Ave,East Providence,RI,2914,US,41.819544,-71.370906
300287,542 Broad St,Central Falls,RI,2863,US,41.886889,-71.387503
300289,1182 New Haven Rd,Naugatuck,CT,6770,US,41.468639,-73.023658
300292,368 Route 12,Groton,CT,6340,US,41.371905,-72.072075
300296,315 Broad St,Providence,RI,2907,US,41.814556,-71.421205
300297,81 Newport Ave,Pawtucket,RI,2861,US,41.861169,-71.354269
300298,699 Bald Hill Rd,Warwick,RI,2886,US,41.719064,-71.485739
300299,937 Easton Rd,Roslyn,PA,19001,US,40.117642,-75.136169
300301,333 Lynnway,Lynn,MA,1901,US,42.458022,-70.949712
300303,406 New State Hwy (Rt 44),Raynham,MA,2767,US,41.90635,-71.050114
300304,395 Providence Hwy,Dedham,MA,2026,US,42.250106,-71.171922
300305,214 N. Beacon St,Brighton,MA,2135,US,42.356017,-71.149212
300309,15 Robeson St,Fall River,MA,2720,US,41.700262,-71.145276
300310,1225 N Main St,Randolph,MA,2368,US,42.1972,-71.060908
300311,12 Springfield St,Agawam,MA,1001,US,42.089672,-72.627564
300312,75 Airport Rd,Hartford,CT,6114,US,41.738017,-72.667604
300314,875 Morrissey Blvd,Dorchester,MA,2122,US,42.293589,-71.048325
300315,113 Conway St,New Bedford,MA,2740,US,41.626708,-70.920297
300316,819 Western Ave,Lynn,MA,1905,US,42.460386,-70.968428
300319,131 Nauset St,New Bedford,MA,2746,US,41.662764,-70.942553
300322,330 W. Route 59,Nanuet,NY,10954,US,41.101692,-74.025781
300323,411 Cabot St,Beverly,MA,1915,US,42.559136,-70.88225
300325,3 Central St,Peabody,MA,1960,US,42.526892,-70.926889
300326,50 S Broadway,Lawrence,MA,1843,US,42.698622,-71.163703
300330,811 W Main Rd,Middletown,RI,2842,US,41.52475,-71.297533
300331,627 Main St,Hyannis,MA,2601,US,41.648622,-70.291044
300335,32-02 Broadway,Fair Lawn,NJ,7410,US,40.924333,-74.103636
300338,118 Boston Tpke,Shrewsbury,MA,1545,US,42.274612,-71.750028
300339,415 N. Main St,Southington,CT,6489,US,41.610986,-72.875903
300340,1084 Main St,East Hartford,CT,6108,US,41.772464,-72.641714
300341,595 Winsted Rd,Torrington,CT,6790,US,41.828055,-73.110093
300342,593 Post Rd,Fairfield,CT,6824,US,41.148506,-73.245258
300343,112 N Main St,Branford,CT,6405,US,41.286369,-72.817094
300344,201 Thomaston Ave,Waterbury,CT,6702,US,41.561778,-73.054078
300345,12 Boston Post Rd,West Haven,CT,6516,US,41.296328,-72.951217
300348,880 Barnum Avenue Cutoff,Stratford,CT,6497,US,41.199067,-73.129694
300353,152 Washington St,Salem,MA,1970,US,42.520343,-70.895585
300354,2405 Reedie Dr,Wheaton,MD,20902,US,39.0388,-77.05127
300359,1213 Liberty Ave,Brooklyn,NY,11208,US,40.679139,-73.864704
300361,Rt 78 (1st St),Swanton,VT,5488,US,44.921323,-73.112207
300362,1055 Hamburg Tpke,Wayne,NJ,7470,US,40.958928,-74.237428
300364,3 N. Smith St,Aurora,IL,60505,US,41.752041,-88.293985
300365,1066 Madison Av,Albany,NY,12210,US,42.665352,-73.790543
300368,266 Concord St,Framingham,MA,1701,US,42.282417,-71.414966
300372,235 Route 73 North,West Berlin,NJ,8091,US,39.807434,-74.930766
300374,225 E. State St,Trenton,NJ,8608,US,40.219663,-74.761005
300380,142 S Main St,Rutland,VT,5701,US,43.598753,-72.969878
300381,2001 York Rd,Timonium,MD,21093,US,39.436392,-76.624164
300390,4001 New Rodgers Rd,Levittown,PA,19056,US,40.131944,-74.88415
300391,1400 Corlies Ave,Neptune,NJ,7753,US,40.209157,-74.027183
300392,674 Broadway,Newburgh,NY,12550,US,41.502372,-74.039397
300396,375 E Putnam Ave,Cos Cob,CT,6807,US,41.039322,-73.596356
300397,5401 Harford Rd,Baltimore,MD,21214,US,39.350983,-76.562191
300398,314 S 2nd St,Fulton,NY,13069,US,43.317575,-76.412344
300399,378 Pompton Ave,Cedar Grove,NJ,7009,US,40.846063,-74.228653
300400,4005 Jonestown Rd,Harrisburg,PA,17109,US,40.293736,-76.827653
300403,206 Shelburne Rd,Burlington,VT,5401,US,44.459844,-73.207892
300407,327 Saint John St,Portland,ME,4102,US,43.654724,-70.280009
300411,8021 Liberty Rd,Baltimore,MD,21244,US,39.352756,-76.756103
300415,1531 Indianapolis Blvd,Whiting,IN,46394,US,41.685469,-87.505186
300417,715 Boylston St,Boston,MA,2116,US,42.349561,-71.079929
300420,921 Beech St,Manchester,NH,3104,US,43.007458,-71.457461
300422,4395 Union Rd,Cheektowaga,NY,14225,US,42.932902,-78.754065
300424,1905 N 5th Street,Reading,PA,19605,US,40.364253,-75.926724
300425,191 West St,Keene,NH,3431,US,42.932606,-72.285729
300428,1360 Saint Georges Ave,Avenel,NJ,7001,US,40.585301,-74.292748
300433,301 N. Maryland Ave,Wilmington,DE,19804,US,39.731242,-75.58215
300434,3155 Delaware Ave,Kenmore,NY,14217,US,42.970351,-78.870541
300446,806 W. Colorado Ave,Colorado Springs,CO,80905,US,38.834483,-104.839339
300448,101 White St,Danbury,CT,6810,US,41.397723,-73.451265
300450,2705 Edgmont Ave,Brookhaven,PA,19015,US,39.866897,-75.376269
300451,2639 Morris Ave,Union,NJ,7083,US,40.704356,-74.293864
300452,207 S Broadway,Saratoga Springs,NY,12866,US,43.074622,-73.787551
300455,81 Church St,New Haven,CT,6510,US,41.305365,-72.926059
300459,1209 Main Ave,Clifton,NJ,7011,US,40.876836,-74.141653
300460,120 E Sunrise Hwy,Valley Stream,NY,11581,US,40.658311,-73.695194
300461,21911 Hillside Ave,Queens Village,NY,11427,US,40.72989,-73.74523
300462,14625 Northern Blvd,Flushing,NY,11354,US,40.76537,-73.81981
300465,2073 Jericho Tpke,Commack,NY,11725,US,40.844806,-73.276264
300467,1063 Northern Blvd,Roslyn,NY,11576,US,40.79891,-73.66323
300469,904 Cape Coral Pky E,Cape Coral,FL,33904,US,26.562314,-81.953994
300470,6660 Delmonico Dr,Colorado Springs,CO,80919,US,38.927775,-104.830766
300471,1040 Central Ave,Albany,NY,12205,US,42.685554,-73.796909
300476,3000 Vestal Pky E,Vestal,NY,13850,US,42.0948,-76.00445
300477,450 New Park Ave,West Hartford,CT,6110,US,41.743101,-72.716136
300478,1200 State St,Schenectady,NY,12304,US,42.799064,-73.9256
300479,301 Madison Ave,Elmira,NY,14901,US,42.092446,-76.800161
300480,277 Ridge Rd E,Rochester,NY,14621,US,43.194472,-77.610856
300481,2803 S. Broad St,Trenton,NJ,8610,US,40.190272,-74.710872
300485,1311 Boston Post Rd,Larchmont,NY,10538,US,40.936103,-73.746717
300487,705 Boulevard,Kenilworth,NJ,7033,US,40.677136,-74.286147
300493,380 Essex Street,Lodi,NJ,7644,US,40.887057,-74.064723
300495,7821 Wise Ave,Baltimore,MD,21222,US,39.267403,-76.497646
300496,7000 Chester Ave,Philadelphia,PA,19142,US,39.923594,-75.245158
300497,205 Main St,Gloucester,MA,1930,US,42.613174,-70.660418
300498,49 Mount Auburn St,Watertown,MA,2472,US,42.366275,-71.181797
300501,701 Philadelphia Pike,Wilmington,DE,19809,US,39.770023,-75.501981
300503,18 1st St,Pittsfield,MA,1201,US,42.448561,-73.250869
300505,1888 New York Ave,Huntington Station,NY,11746,US,40.83758,-73.41194
300506,4902 Kirkwood Hwy,Wilmington,DE,19808,US,39.721101,-75.663186
300507,820 Memorial Dr,Chicopee,MA,1020,US,42.179797,-72.578114
300511,750 Mineral Spring Ave,Pawtucket,RI,2860,US,41.870933,-71.413525
300512,225 Silas Deane Hwy,Wethersfield,CT,6109,US,41.721033,-72.667883
300518,387 Route 46,Rockaway,NJ,7866,US,40.887594,-74.527872
300521,1427 W. Tilghman St,Allentown,PA,18102,US,40.607687,-75.491725
300533,93 Main St,Westfield,MA,1085,US,42.1188,-72.743731
300535,1491 Atwood Ave,Johnston,RI,2919,US,41.823292,-71.498639
300537,5723 N. California Ave,Chicago,IL,60659,US,41.985629,-87.69909
300539,8 Lancaster St,Leominster,MA,1453,US,42.523691,-71.758676
300542,4547 N Broadway St,Chicago,IL,60640,US,41.965019,-87.656758
300547,2371 Pawtucket Ave,East Providence,RI,2914,US,41.810856,-71.359217
300548,1954 W Peterson Ave,Chicago,IL,60660,US,41.990792,-87.679194
300551,6608 Frankford Ave,Philadelphia,PA,19135,US,40.030932,-75.054527
300552,901 W. Chester Pike,Havertown,PA,19083,US,39.971537,-75.310749
300553,580 Frederick Rd,Catonsville,MD,21228,US,39.272891,-76.728316
300557,702 White Horse Pike,Oaklyn,NJ,8107,US,39.901656,-75.077019
300558,744 Boston Post Rd,Old Saybrook,CT,6475,US,41.294736,-72.379742
300561,6601 Cermak Rd,Berwyn,IL,60402,US,41.850462,-87.788667
300562,6738 W Archer Ave,Chicago,IL,60638,US,41.792337,-87.790757
300565,128 Main St,Webster,MA,1570,US,42.048924,-71.884423
300566,1743 W. Lawrence Ave,Chicago,IL,60640,US,41.968722,-87.672958
300567,850 Elmhurst Rd,Des Plaines,IL,60016,US,42.035964,-87.941072
