STATEFP10,COUNTYFP10,COUSUBFP10,COUSUBNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID_AFF2,GEOID_AFF1,SUMid,SUMzip,SUMlat,SUMlng,COUNT
09,001,04720,00213390,0900104720,Bethel,Bethel town,43,T1,G4040,720,72850,,A,43741119,100805,+41.3697777,-073.3895032,0600000US0900104720,06000US0900104720,997097.0000000000000000,20403.0000000000000000,124.1623549999999909,-220.2193849999999884,3.0000000000000000
09,001,08070,00213396,0900108070,Bridgeport,Bridgeport town,43,T5,G4040,720,71950,,C,41372169,8719037,+41.1873858,-073.1957339,0600000US0900108070,06000US0900108070,3947296.0000000000000000,79273.0000000000000000,494.2688139999999635,-878.2903250000001663,12.0000000000000000
09,001,08980,00213399,0900108980,Brookfield,Brookfield town,43,T1,G4040,720,72850,,A,51211648,1543913,+41.4698845,-073.3936666,0600000US0900108980,06000US0900108980,992598.0000000000000000,20412.0000000000000000,124.3617140000000063,-220.2201860000000124,3.0000000000000000
09,001,18500,00213415,0900118500,Danbury,Danbury town,43,T5,G4040,720,72850,,C,108499386,5829369,+41.4018389,-073.4722848,0600000US0900118500,06000US0900118500,3273832.0000000000000000,68102.0000000000000000,413.9898009999999999,-734.5059860000000072,10.0000000000000000
09,001,18850,00213416,0900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323,28024048,+41.0521498,-073.4797138,0600000US0900118850,06000US0900118850,1009030.0000000000000000,20460.0000000000000000,123.2242540000000020,-220.4373359999999877,3.0000000000000000
09,001,26620,00213429,0900126620,Fairfield,Fairfield town,43,T1,G4040,720,71950,,A,77447647,3827049,+41.1759399,-073.2720460,0600000US0900126620,06000US0900126620,2643993.0000000000000000,53878.0000000000000000,329.3961569999999597,-586.0138379999999643,8.0000000000000000
09,001,33620,00213435,0900133620,Greenwich,Greenwich town,43,T1,G4040,720,71950,,A,123340560,50949017,+41.0434601,-073.6284133,0600000US0900133620,06000US0900133620,1999338.0000000000000000,40999.0000000000000000,246.1951489999999865,-441.7948510000000510,6.0000000000000000
09,001,48620,00213463,0900148620,Monroe,Monroe town,43,T1,G4040,720,71950,,A,67527745,519191,+41.3392358,-073.2228275,0600000US0900148620,06000US0900148620,1336472.0000000000000000,25872.0000000000000000,165.3436360000000036,-292.9218999999999937,4.0000000000000000
09,001,50580,00213468,0900150580,New Canaan,New Canaan town,43,T1,G4040,720,71950,,A,57484075,851634,+41.1610538,-073.5011837,0600000US0900150580,06000US0900150580,351440.0000000000000000,6840.0000000000000000,41.1466780000000014,-73.4937950000000058,1.0000000000000000
09,001,50860,00213469,0900150860,New Fairfield,New Fairfield town,43,T1,G4040,720,72850,,A,52944492,12204578,+41.4820807,-073.4876199,0600000US0900150860,06000US0900150860,300787.0000000000000000,6812.0000000000000000,41.4658829999999980,-73.4821029999999951,1.0000000000000000
