TOWN,TOWN_ID,POP1980,POP1990,POP2000,POPCH80_90,POPCH90_00,TYPE,ISLAND,COASTAL_PO,FOURCOLOR,FIPS_STCO,CCD_MCD,FIPS_PLACE,FIPS_MCD,FIPS_COUNT,ACRES,SQUARE_MIL,POP2010,POPCH00_10,SHAPE_AREA,SHAPE_LEN,SUMid,SUMzip,SUMlat,SUMlng,COUNT
QUINCY,243,83682,84985,88025,1303,3040,C,0,NO,3,25021,460,55745,25021460,21,11067.32600000,17.29300000,92271,4246,44787880.49369999766,84208.91814260000,5084203.0000000000000000,34714.0000000000000000,676.1433249999998907,-1136.1610140000000229,16.0000000000000000
HULL,142,9751,10466,11050,715,584,T,0,NO,2,25023,055,31645,25023055,23,1656.18300000,2.58800000,10293,-757,6702329.37849999964,37485.04116690000,653381.0000000000000000,4090.0000000000000000,84.5652269999999930,-141.7392439999999851,2.0000000000000000
SHREWSBURY,271,22548,24146,31565,1598,7419,T,0,NO,1,25027,215,61800,25027215,27,13923.97700000,21.75600000,35608,4043,56348338.63480000198,32165.87659760000,1974939.0000000000000000,9270.0000000000000000,253.6161380000000065,-430.3334320000000162,6.0000000000000000
CHARLTON,54,7480,9576,11263,2096,1687,T,0,NO,3,25027,050,12715,25027050,27,28024.83600000,43.78900000,12981,1718,113412507.22300000489,47894.21100250000,690363.0000000000000000,3014.0000000000000000,84.2826740000000001,-143.9588579999999922,2.0000000000000000
SUTTON,290,6342,6824,8250,482,1426,T,0,NO,3,25027,245,68610,25027245,27,21776.33100000,34.02500000,8963,713,88125697.17450000346,46473.49733290000,340083.0000000000000000,1590.0000000000000000,42.1744249999999994,-71.7533739999999938,1.0000000000000000
FRANKLIN,101,19023,22095,29560,3072,7465,TC,0,NO,2,25021,050,25065,25021050,21,17296.91200000,27.02600000,31635,2075,69998126.00550000370,36786.12082060000,980972.0000000000000000,6114.0000000000000000,126.2361630000000048,-214.1912869999999884,3.0000000000000000
NORFOLK,208,7492,9270,10460,1778,1190,T,0,NO,1,25021,085,46050,25021085,21,9853.37100000,15.39600000,11227,767,39875151.88880000263,28905.20538090000,301868.0000000000000000,2056.0000000000000000,42.1199939999999984,-71.3242939999999948,1.0000000000000000
HOPEDALE,138,3955,5666,5907,1711,241,T,0,NO,2,25027,105,30945,25027105,27,3418.99600000,5.34200000,5911,4,13836175.47020000033,20150.34715790000,343340.0000000000000000,1747.0000000000000000,42.1032709999999994,-71.5036510000000050,1.0000000000000000
NORTHBRIDGE,216,12265,13371,13182,1106,-189,T,0,NO,1,25027,165,47135,25027165,27,11552.26100000,18.05000000,15707,2525,46750345.49560000002,30706.14767270000,654658.0000000000000000,3176.0000000000000000,84.2472060000000056,-143.2899510000000021,2.0000000000000000
STURBRIDGE,287,6565,7775,7837,1210,62,T,0,NO,1,25027,240,68155,25027240,27,24937.96500000,38.96500000,9268,1431,100920400.64100000262,49232.81831400000,987114.0000000000000000,4650.0000000000000000,126.3208149999999961,-216.2380390000000148,3.0000000000000000
MEDWAY,177,8890,9931,12448,1041,2517,T,0,NO,4,25021,065,39975,25021065,21,7466.68300000,11.66700000,12752,304,30216566.71000000089,27338.59442920000,642580.0000000000000000,4106.0000000000000000,84.2961400000000083,-142.8542390000000069,2.0000000000000000
NORWELL,219,9208,9279,9765,71,486,T,0,NO,2,25023,090,50145,25023090,23,13494.56100000,21.08500000,10506,741,54610574.19470000267,44031.40933050000,686119.0000000000000000,4122.0000000000000000,84.3353549999999927,-141.6742480000000057,2.0000000000000000
AUBURN,17,14477,15005,15901,528,896,T,0,NO,2,25027,015,02760,25027015,27,10505.17000000,16.41400000,16188,287,42512969.98510000110,24816.99540750000,1316954.0000000000000000,6004.0000000000000000,168.7609180000000038,-287.3925219999999854,4.0000000000000000
HANSON,123,8970,9028,9515,58,487,T,0,NO,3,25023,045,28495,25023045,23,10069.08300000,15.73300000,10209,694,40748136.48780000210,30621.38538330000,979948.0000000000000000,7023.0000000000000000,126.1527439999999842,-212.6049559999999872,3.0000000000000000
LEOMINSTER,153,34624,38145,41303,3521,3158,C,0,NO,3,25027,100,35075,25027100,27,18994.06500000,29.67800000,40759,-544,76866230.76260000467,42258.66547100000,2628579.0000000000000000,11624.0000000000000000,340.1676929999999857,-573.9748080000000527,8.0000000000000000
WEYMOUTH,336,54273,54063,53988,-210,-75,TC,0,NO,1,25021,135,78865,25021135,21,11319.56700000,17.68700000,53743,-245,45808704.66870000213,48895.20883750000,3206581.0000000000000000,21893.0000000000000000,422.0846559999999954,-709.5061590000000251,10.0000000000000000
COHASSET,65,7346,7075,7261,-271,186,T,0,NO,1,25021,030,14640,25021030,21,6383.44900000,9.97400000,7542,281,25832909.96499999985,38471.40218070000,674211.0000000000000000,4050.0000000000000000,84.4602280000000007,-141.6288169999999980,2.0000000000000000
HINGHAM,131,19942,19821,19882,-121,61,T,0,NO,3,25023,050,30210,25023050,23,14501.92700000,22.65900000,22157,2275,58687178.18509999663,57439.45401120000,641182.0000000000000000,4086.0000000000000000,84.4296070000000043,-141.8029669999999953,2.0000000000000000
FALMOUTH,96,25007,27960,32660,2953,4700,T,0,NO,2,25001,035,23105,25001035,1,28820.19400000,45.03100000,31531,-1129,116631175.35500000417,156559.21421500001,1923924.0000000000000000,15244.0000000000000000,249.5338140000000067,-423.5446230000000014,6.0000000000000000
FAIRHAVEN,94,15646,16132,16159,486,27,T,0,NO,4,25005,035,22130,25005035,5,7918.14200000,12.37200000,15873,-286,32043539.04690000042,70031.33035970000,643893.0000000000000000,5438.0000000000000000,83.2981639999999999,-141.7971420000000080,2.0000000000000000
WESTPORT,334,13861,13852,14183,-9,331,T,0,NO,1,25005,100,77570,25005100,5,33014.71200000,51.58500000,15532,1349,133605809.83599999547,144025.81399800000,340488.0000000000000000,2790.0000000000000000,41.6752400000000023,-71.1086590000000029,1.0000000000000000
MATTAPOISETT,173,5705,5850,6268,145,418,T,0,NO,1,25023,080,39450,25023080,23,11189.41700000,17.48300000,6045,-223,45281959.87619999796,60436.96790970000,344090.0000000000000000,2739.0000000000000000,41.6647419999999968,-70.8099919999999941,1.0000000000000000
DARTMOUTH,72,24840,27244,30666,2404,3422,T,0,NO,4,25005,020,16425,25005020,5,39612.69300000,61.89400000,34032,3366,160306914.34200000763,139323.05423499999,2381966.0000000000000000,19231.0000000000000000,291.4107010000000173,-496.9572590000000218,7.0000000000000000
BARNSTABLE,20,35080,40949,47821,5869,6872,TC,0,NO,3,25001,005,03635,25001005,1,39015.90300000,60.96200000,45193,-2628,157891757.29499998689,191088.87271000000,3961520.0000000000000000,31411.0000000000000000,499.9110219999999458,-843.8684289999998782,12.0000000000000000
NEW BEDFORD,201,97738,99922,93768,2184,-6154,C,0,NO,2,25005,770,45000,25005770,5,12933.76100000,20.20900000,95072,1304,52341047.31939999759,49745.26681040000,5531068.0000000000000000,46626.0000000000000000,708.1575890000001436,-1205.9203230000000531,17.0000000000000000
FALL RIVER,95,92038,92703,91938,665,-765,C,0,NO,3,25005,220,23000,25005220,5,24668.08900000,38.54400000,88857,-3081,99828191.00630000234,63846.21433790000,5234527.0000000000000000,43539.0000000000000000,667.1949759999999969,-1138.3656540000001769,16.0000000000000000
NEW BEDFORD,201,97738,99922,93768,2184,-6154,C,1,NO,2,25005,770,45000,25005770,5,30.70400000,0.04800000,95072,1304,124256.82255000000,1696.52445380000,337353.0000000000000000,2740.0000000000000000,41.6409530000000032,-70.9129910000000052,1.0000000000000000
EAST BRIDGEWATER,83,10167,11104,12974,937,1870,T,0,NO,4,25023,030,18455,25023030,23,9925.12500000,15.50800000,13794,820,40165566.62870000303,44876.99633570000,646092.0000000000000000,4666.0000000000000000,84.0559300000000036,-141.8983069999999884,2.0000000000000000
EAST LONGMEADOW,85,12535,13367,14100,832,733,T,0,NO,1,25013,030,19645,25013030,13,8324.71700000,13.00700000,15720,1620,33688897.81430000067,23285.41704630000,330563.0000000000000000,1028.0000000000000000,42.0638160000000028,-72.5164079999999984,1.0000000000000000
WHITMAN,338,13684,13240,13882,-444,642,T,0,NO,2,25023,135,79530,25023135,23,4453.39300000,6.95800000,14489,607,18022245.92130000144,18499.96497830000,971657.0000000000000000,7146.0000000000000000,126.2317929999999961,-212.8314669999999751,3.0000000000000000
BOURNE,36,14995,16064,18721,1069,2657,T,0,NO,3,25001,010,07175,25001010,1,20276.81200000,31.68200000,19754,1033,82057329.72069999576,91271.89210740000,646411.0000000000000000,5091.0000000000000000,83.4124419999999986,-141.1718119999999885,2.0000000000000000
