AREA,PERIMETER,RITO_,RITO_ID,NAME,MCD,CFIPS,COUNTY,OSP,CFIPS_MCD,TWNCODE,GIS_ACRES,SUMid,SUMzip,SUMlat,SUMlng,COUNT
787458600.000,133788.700,2,288,CUMBERLAND,20,7,PROVIDENCE,8,7020,CU,18077.56,1626303.0000000000000000,14320.0000000000000000,209.7670479999999884,-357.1896179999999958,5.0000000000000000
219880500.000,61170.320,3,1,WOONSOCKET,80,7,PROVIDENCE,39,7080,WT,5047.76,1592119.0000000000000000,14475.0000000000000000,210.0101079999999740,-357.5200879999999870,5.0000000000000000
693796500.000,121584.300,4,3,NORTH SMITHFIELD,55,7,PROVIDENCE,25,7055,NS,15927.38,680053.0000000000000000,5792.0000000000000000,83.9845809999999915,-143.0992990000000020,2.0000000000000000
1588026000.000,166984.900,5,2,BURRILLVILLE,5,7,PROVIDENCE,3,7005,BU,36456.06,682435.0000000000000000,5685.0000000000000000,83.9233059999999966,-143.3460939999999937,2.0000000000000000
528866700.000,116226.300,6,289,LINCOLN,45,7,PROVIDENCE,17,7045,LI,12141.11,1310607.0000000000000000,11460.0000000000000000,167.6651929999999879,-285.8587329999999724,4.0000000000000000
769680600.000,111353.500,7,4,SMITHFIELD,75,7,PROVIDENCE,31,7075,SM,17669.44,2311158.0000000000000000,20330.0000000000000000,293.1969940000000179,-500.6275989999999751,7.0000000000000000
1584399000.000,171370.000,8,5,GLOCESTER,35,7,PROVIDENCE,13,7035,GL,36372.80,338022.0000000000000000,2814.0000000000000000,41.9065060000000003,-71.6605050000000006,1.0000000000000000
35932450.000,23812.100,9,290,CENTRAL FALLS,10,7,PROVIDENCE,4,7010,CF,824.90,300287.0000000000000000,2863.0000000000000000,41.8868889999999965,-71.3875029999999953,1.0000000000000000
246991100.000,85493.830,10,291,PAWTUCKET,60,7,PROVIDENCE,26,7060,PA,5670.14,4178938.0000000000000000,37185.0000000000000000,544.4267879999999877,-927.8988690000001043,13.0000000000000000
161523100.000,62331.790,11,6,NORTH PROVIDENCE,50,7,PROVIDENCE,24,7050,NP,3708.06,1669336.0000000000000000,14527.0000000000000000,209.3129710000000046,-357.2589219999999841,5.0000000000000000
678348400.000,112362.500,12,7,JOHNSTON,40,7,PROVIDENCE,16,7040,JO,15572.74,2204555.0000000000000000,20433.0000000000000000,292.7509850000000142,-500.5481610000000501,7.0000000000000000
524347400.000,140425.600,13,292,PROVIDENCE,65,7,PROVIDENCE,28,7065,PR,12037.36,8809407.0000000000000000,78464.0000000000000000,1129.2864419999998518,-1928.3819289999996727,27.0000000000000000
389466200.000,145918.800,14,293,EAST PROVIDENCE,25,7,PROVIDENCE,10,7025,EP,8940.91,2869602.0000000000000000,26233.0000000000000000,376.2821040000000039,-642.2172620000001189,9.0000000000000000
1527965000.000,159691.500,15,9,SCITUATE,70,7,PROVIDENCE,30,7070,SC,35077.25,336929.0000000000000000,2857.0000000000000000,41.8260950000000022,-71.6709670000000045,1.0000000000000000
806066400.000,169777.700,19,10,CRANSTON,15,7,PROVIDENCE,7,7015,CR,18504.74,3594888.0000000000000000,32060.0000000000000000,459.4875799999999799,-785.9160080000000335,11.0000000000000000
171170500.000,88382.360,24,297,BARRINGTON,5,1,BRISTOL,1,1005,BA,3929.53,308473.0000000000000000,2806.0000000000000000,41.7389640000000028,-71.3071439999999939,1.0000000000000000
926479700.000,270333.100,25,14,WARWICK,15,3,KENT,35,3015,WK,21269.05,6467143.0000000000000000,57678.0000000000000000,834.4815189999999347,-1428.8326449999997294,20.0000000000000000
174041700.000,119631.400,30,299,WARREN,15,1,BRISTOL,34,1015,WN,3995.45,946957.0000000000000000,8655.0000000000000000,125.1624550000000085,-213.8190880000000220,3.0000000000000000
225560400.000,82621.430,42,28,WEST WARWICK,25,3,KENT,38,3025,WW,5178.15,1261716.0000000000000000,11572.0000000000000000,166.8103619999999978,-286.0605770000000234,4.0000000000000000
1741176000.000,189000.800,43,27,COVENTRY,5,3,KENT,6,3005,CO,39971.90,1339580.0000000000000000,11264.0000000000000000,166.7159869999999842,-286.2415270000000191,4.0000000000000000
275217400.000,120012.500,44,31,BRISTOL,10,1,BRISTOL,2,1010,BR,6318.12,985315.0000000000000000,8427.0000000000000000,125.0441420000000221,-213.8159529999999791,3.0000000000000000
845974800.000,189310.200,48,36,TIVERTON,35,5,NEWPORT,33,5035,TI,19420.91,604783.0000000000000000,5756.0000000000000000,83.2858329999999967,-142.3377560000000130,2.0000000000000000
454663600.000,99421.020,51,39,EAST GREENWICH,10,3,KENT,9,3010,EG,10437.64,641663.0000000000000000,5636.0000000000000000,83.2800499999999886,-142.9467569999999910,2.0000000000000000
1427856000.000,175872.900,53,38,WEST GREENWICH,20,3,KENT,37,3020,WG,32779.06,1018482.0000000000000000,8451.0000000000000000,124.9238510000000133,-214.8478920000000016,3.0000000000000000
479839900.000,189505.200,55,43,PORTSMOUTH,30,5,NEWPORT,27,5030,PO,11015.61,605591.0000000000000000,5742.0000000000000000,83.1883359999999925,-142.5165169999999932,2.0000000000000000
1229746000.000,319692.600,56,42,NORTH KINGSTOWN,25,9,WASHINGTON,23,9025,NK,28231.08,1318794.0000000000000000,11430.0000000000000000,166.3463279999999997,-285.8447559999999612,4.0000000000000000
1627860000.000,221988.500,70,54,EXETER,10,9,WASHINGTON,11,9010,EX,37370.52,683972.0000000000000000,5644.0000000000000000,83.1158550000000105,-143.2030560000000037,2.0000000000000000
1135778000.000,200271.800,76,63,RICHMOND,30,9,WASHINGTON,29,9030,RM,26073.88,993612.0000000000000000,8694.0000000000000000,124.5184079999999938,-215.0080580000000054,3.0000000000000000
367824400.000,111493.700,78,65,MIDDLETOWN,15,5,NEWPORT,19,5015,MI,8444.09,957714.0000000000000000,8526.0000000000000000,124.5651179999999982,-213.8758119999999963,3.0000000000000000
1230578000.000,205439.600,80,64,HOPKINTON,15,9,WASHINGTON,14,9015,HO,28250.18,340995.0000000000000000,2804.0000000000000000,41.4258299999999977,-71.7841300000000047,1.0000000000000000
1688787000.000,358983.400,82,300,SOUTH KINGSTOWN,35,9,WASHINGTON,32,9035,SK,38769.21,1330037.0000000000000000,11513.0000000000000000,165.8881829999999979,-285.9726299999999810,4.0000000000000000
218061900.000,141809.100,83,69,NEWPORT,20,5,NEWPORT,21,5020,NE,5006.01,1310519.0000000000000000,11360.0000000000000000,165.9980569999999886,-285.2519719999999666,4.0000000000000000
141413600.000,73536.480,87,73,NARRAGANSETT,20,9,WASHINGTON,20,9020,NA,3246.41,336043.0000000000000000,2882.0000000000000000,41.4910739999999976,-71.4376440000000059,1.0000000000000000
1053485000.000,303757.500,130,301,CHARLESTOWN,5,9,WASHINGTON,5,9005,CH,24184.69,336952.0000000000000000,2813.0000000000000000,41.3887440000000026,-71.6256750000000011,1.0000000000000000
